LPT nnnnn.nnnn
        YYYYMMDDHH _A_[km2] cen_lat.__ cen_lon.__ Nobj
LPT     0.1000
        2000060100  7114336       6.61      99.77  1
        2000060101  7181456       6.61      99.68  1
        2000060102  7242362       6.61      99.60  1
        2000060103 10598544       3.34     110.56  1
        2000060104 10771287       3.35     110.53  1
        2000060105 10940654       3.37     110.43  1
        2000060106 11129599       3.40     110.23  1
        2000060107 11299620       3.42     110.01  1
        2000060108 11440712       3.42     109.83  1
        2000060109 11548119       3.42     109.67  1
        2000060110 11611435       3.44     109.54  1
        2000060111 11630985       3.46     109.44  1
        2000060112 11634770       3.47     109.33  1
        2000060113 11653090       3.50     109.21  1
        2000060114 11695850       3.53     109.10  1
        2000060115 11779197       3.55     108.97  1
        2000060116 11849415       3.59     108.85  1
        2000060117 11942415       3.61     108.66  1
        2000060118 12029494       3.64     108.43  1
        2000060119 12093304       3.67     108.20  1
        2000060120 12135929       3.71     107.93  1
        2000060121 12166750       3.75     107.65  1
        2000060122 12184217       3.79     107.36  1
        2000060123 12220071       3.83     107.10  1
        2000060200 12231367       3.88     106.81  1
        2000060201 12230626       3.93     106.54  1
        2000060202 12224623       3.96     106.34  1
        2000060203 12221969       3.99     106.18  1
        2000060204 12224590       4.01     106.03  1
        2000060205 12276504       4.02     105.85  1
        2000060206 12315640       4.05     105.61  1
        2000060207 12355054       4.07     105.42  1
        2000060208 12373784       4.09     105.21  1
        2000060209 12386399       4.14     105.05  1
        2000060210 12371904       4.16     104.90  1
        2000060211 12351240       4.19     104.76  1
        2000060212 12310012       4.22     104.67  1
        2000060213 12293924       4.25     104.58  1
        2000060214 12282244       4.28     104.49  1
        2000060215 12267483       4.30     104.43  1
        2000060216 12262166       4.31     104.38  1
        2000060217 12260897       4.31     104.30  1
        2000060218 12252035       4.33     104.13  1
        2000060219 12237533       4.34     103.97  1
        2000060220 12250832       4.35     103.84  1
        2000060221 12230537       4.34     103.76  1
        2000060222 12208065       4.33     103.69  1
        2000060223 12188024       4.33     103.67  1
        2000060300 12163593       4.33     103.66  1
        2000060301 12140499       4.33     103.69  1
        2000060302 12107421       4.33     103.72  1
        2000060303 12080007       4.34     103.73  1
        2000060304 12036787       4.35     103.74  1
        2000060305 11991368       4.36     103.70  1
        2000060306 11942214       4.39     103.59  1
        2000060307 11909804       4.41     103.51  1
        2000060308 11898751       4.44     103.43  1
        2000060309 11901590       4.48     103.33  1
        2000060310 11903282       4.50     103.28  1
        2000060311 11881388       4.50     103.20  1
        2000060312 11870344       4.53     103.13  1
        2000060313 11863216       4.54     103.03  1
        2000060314 11869277       4.56     102.90  1
        2000060315 11901765       4.61     102.79  1
        2000060316 11942241       4.66     102.66  1
        2000060317 12017819       4.74     102.49  1
        2000060318 12069718       4.81     102.28  1
        2000060319 12120298       4.87     102.10  1
        2000060320 12184466       4.93     101.89  1
        2000060321 12231673       5.01     101.69  1
        2000060322 12267267       5.09     101.48  1
        2000060323 12272977       5.15     101.32  1
        2000060400 12271084       5.22     101.15  1
        2000060401 12234415       5.28     101.00  1
        2000060402 12186491       5.34     100.88  1
        2000060403 12155135       5.40     100.72  1
        2000060404 12102368       5.47     100.57  1
        2000060405 12053574       5.52     100.42  1
        2000060406 11978929       5.57     100.30  1
        2000060407 11874358       5.61     100.26  1
        2000060408 11766493       5.65     100.30  1
        2000060409 11705954       5.72     100.30  1
        2000060410 11630554       5.77     100.31  1
        2000060411 11572687       5.83     100.30  1
        2000060412 11521628       5.87     100.30  1
        2000060413 11462112       5.89     100.29  1
        2000060414 11422343       5.93     100.25  1
        2000060415 11352485       5.99     100.18  1
        2000060416 11285659       6.06     100.07  1
        2000060417 11239269       6.13      99.92  1
        2000060418 11179334       6.21      99.76  1
        2000060419 11121484       6.29      99.62  1
        2000060420 11073543       6.40      99.44  1
        2000060421 10978976       6.49      99.34  1
        2000060422 10876407       6.61      99.26  1
        2000060423 10731330       6.75      99.16  1
        2000060500 10527921       6.89      99.09  1
        2000060501 10316191       7.02      99.00  1
        2000060502 10033532       7.19      98.86  1
        2000060503  6098518      12.95      89.89  1
        2000060504  6026313      13.12      89.62  1
        2000060505  5972241      13.27      89.40  1
        2000060506  5902745      13.43      89.17  1
        2000060507  5847322      13.59      88.96  1
        2000060508  5802582      13.73      88.73  1
        2000060509  5755427      13.88      88.50  1
        2000060510  5728130      14.00      88.22  1
        2000060511  5709702      14.12      88.01  1
        2000060512  5688736      14.24      87.84  1
        2000060513  5686225      14.34      87.65  1
        2000060514  5687444      14.42      87.45  1
        2000060515  5682952      14.51      87.27  1
        2000060516  5702493      14.59      87.07  1
        2000060517  5731374      14.68      86.87  1
        2000060518  5761822      14.77      86.66  1
        2000060519  5770403      14.87      86.47  1
        2000060520  5778316      14.97      86.29  1
        2000060521  5769583      15.05      86.08  1
        2000060522  5790345      15.12      85.87  1
        2000060523  5832108      15.19      85.68  1
        2000060600  5876767      15.25      85.48  1
        2000060601  5918129      15.32      85.27  1
        2000060602  5963266      15.36      85.05  1
        2000060603  6009598      15.40      84.83  1
        2000060604  6056350      15.44      84.60  1
        2000060605  6105539      15.48      84.36  1
        2000060606  6139385      15.53      84.17  1
        2000060607  6172899      15.58      83.98  1
        2000060608  6203073      15.63      83.78  1
        2000060609  6185604      15.67      83.62  1
        2000060610  6200529      15.70      83.40  1
        2000060611  6206299      15.72      83.20  1
        2000060612  6219355      15.74      83.01  1
        2000060613  6236828      15.76      82.82  1
        2000060614  6248816      15.78      82.68  1
        2000060615  6258431      15.80      82.52  1
        2000060616  6248980      15.81      82.37  1
        2000060617  6240686      15.81      82.22  1
        2000060618  6213516      15.81      82.04  1
        2000060619  6206254      15.80      81.87  1
        2000060620  6196357      15.81      81.73  1
        2000060621  6189183      15.82      81.59  1
        2000060622  6188290      15.82      81.45  1
        2000060623  6189452      15.81      81.30  1
        2000060700  6208512      15.81      81.16  1
        2000060701  6223746      15.82      81.03  1
        2000060702  6236356      15.82      80.93  1
        2000060703  6231832      15.85      80.86  1
        2000060704  6230736      15.86      80.77  1
