begin_tracking  end_tracking     lptid  lptgroup  duration  mean_zonal_spd   lpt_begin     lpt_end      eprop_begin_idx  eprop_end_idx  eprop_spd  eprop_dur eprop_begin   eprop_end     eprop_lon_begin  eprop_lon_end
    2010060100    2015063023    0.1000         0    487.00            3.35  2010060111  2010062418                  280            551       8.49     271.00  2010061303  2010062410                77.0          156.6
    2010060100    2015063023    4.2000         4    709.00            0.23  2010070610  2010080723                   92            374       5.95     282.00  2010071006  2010072200                74.3          124.9
    2010060100    2015063023    8.1000         8    516.00            0.56  2010080810  2010090122                   73            354       3.12     281.00  2010081111  2010082304                71.4          108.0
    2010060100    2015063023   13.2000        13    310.00            3.71  2010083001  2010091423                   83            366       3.69     283.00  2010090212  2010091407                95.1          131.3
    2010060100    2015063023   19.2000        19    860.00            1.21  2010091515  2010102411                   73            805       0.91     732.00  2010091816  2010101904                74.4          125.0
    2010060100    2015063023   22.1000        22   1635.00            0.59  2010102003  2010123006                  808           1694       1.93     886.00  2010112219  2010122917                85.4          159.1
    2010060100    2015063023   22.1000        22   1635.00            0.59  2010102003  2010123006                   77            385       1.21     308.00  2010102308  2010110504                93.7          111.5
    2010060100    2015063023   28.1000        28    356.00            4.08  2010122200  2011010820                   73            382       4.68     309.00  2010122501  2011010622                88.1          129.2
    2010060100    2015063023   30.2000        30    386.00            4.23  2011010119  2011012021                   87            322      10.81     235.00  2011010510  2011011505                91.1          155.3
    2010060100    2015063023   31.5000        31   1287.00           -1.20  2011011619  2011031410                  898           1248       1.95     350.00  2011022305  2011030919               119.3          156.8
    2010060100    2015063023   31.3000        31   1063.00            0.70  2011012603  2011031410                   87            393       1.57     306.00  2011012918  2011021112               102.0          144.4
    2010060100    2015063023   40.4000        40    654.00            3.60  2011031623  2011041605                  216            726       4.63     510.00  2011032523  2011041605               117.1          205.0
    2010060100    2015063023   42.1000        42    181.00            1.57  2011042216  2011050305                   73            253       1.53     180.00  2011042517  2011050305               316.5          337.1
    2010060100    2015063023   43.5000        43    395.00            7.96  2011042406  2011051317                   87            467       7.95     380.00  2011042721  2011051317                78.1          163.0
    2010060100    2015063023   51.1000        51    582.00            3.51  2011060403  2011070109                  221            654       5.93     433.00  2011061308  2011070109               127.1          213.5
    2010060100    2015063023   57.9000        57    875.00            0.14  2011070611  2011081422                   73            492       2.90     419.00  2011070912  2011072623                79.0          148.4
    2010060100    2015063023   58.0000        58    844.00            2.78  2011070611  2011081315                   73            492       2.90     419.00  2011070912  2011072623                79.0          148.4
    2010060100    2015063023   60.7000        60   1314.00            0.81  2011080923  2011100617                  936           1300       3.79     364.00  2011091723  2011100303                90.0          131.0
    2010060100    2015063023   66.1000        66    640.00            3.04  2011101308  2011111200                  164            706       3.59     542.00  2011102004  2011111118                66.4          122.3
    2010060100    2015063023   69.1000        69    622.00            3.79  2011111504  2011121402                  176            559       5.53     383.00  2011112212  2011120811                60.9          131.5
    2010060100    2015063023   70.2000        70   1602.00            0.77  2011121319  2012022113                  208            709       7.81     501.00  2011122211  2012011208                89.5          203.2
    2010060100    2015063023   79.2000        79    888.00            2.62  2012022615  2012040615                   74            960       2.62     886.00  2012022917  2012040615                96.0          170.3
    2010060100    2015063023   83.1000        83    369.00            1.82  2012050804  2012052613                   83            441       1.74     358.00  2012051115  2012052613               252.6          282.8
    2010060100    2015063023   85.3000        85    485.00            4.23  2012051816  2012061021                   73            549       4.11     476.00  2012052117  2012061013                88.1          161.4
    2010060100    2015063023   91.1000        91    246.00            2.35  2012070115  2012071421                   73            276       2.28     203.00  2012070416  2012071303                63.1           82.5
    2010060100    2015063023   99.1000        99    653.00            2.03  2012082019  2012092000                  274            483       4.47     209.00  2012090105  2012090922                79.7          126.0
    2010060100    2015063023  110.1000       110    369.00            2.99  2012102000  2012110709                  163            433       4.07     270.00  2012102619  2012110701                72.6          102.9
    2010060100    2015063023  111.1000       111    328.00            5.18  2012110111  2012111803                   93            396       5.35     303.00  2012110508  2012111723                68.9          121.0
    2010060100    2015063023  116.3000       116   1434.00            3.38  2012120905  2013020923                  375           1210       5.54     835.00  2012122420  2013012815                61.1          205.2
    2010060100    2015063023  116.2000       116    368.00            4.03  2013012215  2013020923                   93            440       3.95     347.00  2013012612  2013020923               161.5          212.9
    2010060100    2015063023  122.1000       122    193.00            0.73  2013020404  2013021505                   73            265       0.73     192.00  2013020705  2013021505               299.1          309.3
    2010060100    2015063023  123.2000       123    868.00            1.05  2013020801  2013031905                  345            674       3.88     329.00  2013022210  2013030803               123.3          175.8
    2010060100    2015063023  125.1000       125    262.00            2.53  2013022515  2013031113                   83            334       2.57     251.00  2013030102  2013031113                62.2           84.1
    2010060100    2015063023  127.1000       127    455.00            7.57  2013032614  2013041713                   92            524       7.81     432.00  2013033010  2013041710                72.1          173.5
    2010060100    2015063023  131.2000       131    397.00            6.43  2013042617  2013051606                  137            386       9.97     249.00  2013050210  2013051219                71.7          145.0
    2010060100    2015063023  135.1000       135    486.00            0.87  2013060408  2013062714                   73            345       7.54     272.00  2013060709  2013061817                67.6          133.3
    2010060100    2015063023  142.7000       142    810.00            2.79  2013082219  2013092813                  205            882       3.10     677.00  2013083108  2013092813                77.1          151.9
    2010060100    2015063023  151.2000       151    516.00            0.64  2013110204  2013112616                  160            434       1.95     274.00  2013110820  2013112006                95.2          113.6
    2010060100    2015063023  152.4000       152   1129.00            3.41  2013112500  2014011401                  392           1088       4.72     696.00  2013121108  2014010908                84.0          197.0
    2010060100    2015063023  155.2000       155   1214.00            1.67  2013122111  2014021301                   81           1006       2.90     925.00  2013122420  2014020109                66.6          172.7
    2010060100    2015063023  158.1000       158    314.00            0.66  2014020815  2014022417                   73            244       2.73     171.00  2014021116  2014021819               294.5          309.3
    2010060100    2015063023  159.3000       159    548.00            3.63  2014020919  2014030715                   76            620       3.60     544.00  2014021223  2014030715               122.9          201.2
    2010060100    2015063023  159.4000       159    936.00            1.78  2014020919  2014032319                  626            984       4.52     358.00  2014030721  2014032219               148.1          205.3
    2010060100    2015063023  160.1000       160    617.00            0.38  2014032521  2014042314                  315            627       2.04     312.00  2014040800  2014042100               157.0          174.7
    2010060100    2015063023  170.5000       170   1193.00           -0.27  2014062119  2014081312                  501            845       4.73     344.00  2014071216  2014072700                94.1          151.7
    2010060100    2015063023  173.1000       173    579.00            2.55  2014081519  2014091122                   73            488       3.92     415.00  2014081820  2014090503                64.1          121.8
    2010060100    2015063023  186.3000       186    989.00            1.05  2014102604  2014120909                   73            904       0.27     831.00  2014102905  2014120220                79.9          132.8
