LPT nnnnn.nnnn
        YYYYMMDDHH _A_[km2] cen_lat.__ cen_lon.__ Nobj
LPT     0.0100
        2000060100  7048688       6.61      97.82  1
        2000060103  7225648       6.70      97.89  1
        2000060106  7535421       6.85      97.83  1
        2000060109  7969019       6.90      98.11  1
        2000060112  9911050       4.83     104.55  1
        2000060115  9979136       4.83     104.25  1
        2000060118 10391828       4.77     104.21  1
        2000060121 10575517       4.83     103.80  1
        2000060200 10669422       4.94     102.90  1
        2000060203 10519936       5.16     102.23  1
        2000060206 10775250       5.17     101.90  1
        2000060209 10883834       5.30     101.70  1
        2000060212 10558725       5.45     101.49  1
        2000060215 10304478       5.59     101.27  1
        2000060218 10250477       5.57     100.87  1
        2000060221 10217658       5.52     100.56  1
        2000060300 10033845       5.59     100.25  1
        2000060303  9919517       5.66     100.23  1
        2000060306  9983751       5.66     100.22  1
        2000060309  9822114       5.83     100.10  1
        2000060312  9862416       5.81     100.30  1
        2000060315  9974062       5.78     100.30  1
        2000060318 10102775       5.88     100.29  1
        2000060321 10230499       5.96     100.07  1
        2000060400 10204629       6.18      99.64  1
        2000060403  9958276       6.41      99.43  1
        2000060406  9798872       6.70      99.07  1
        2000060409  9410116       6.96      99.04  1
        2000060412  8856134       7.51      98.80  1
        2000060415  8424339       7.87      98.71  1
        2000060418  7921811       8.41      98.06  1
        2000060421  5796948      11.88      91.61  1
        2000060500  5575874      12.36      91.03  1
        2000060503  5232556      12.82      90.71  1
        2000060506  5131347      13.17      90.14  1
        2000060509  4945671      13.69      89.63  1
        2000060512  4858397      14.14      88.97  1
        2000060515  4879591      14.38      88.28  1
        2000060518  5049134      14.73      87.43  1
        2000060521  5121967      15.04      86.84  1
        2000060600  5332660      15.27      85.96  1
        2000060603  5536987      15.39      85.01  1
        2000060606  5764735      15.44      84.12  1
        2000060609  5848704      15.64      83.62  1
        2000060612  5881171      15.71      82.84  1
        2000060615  5854097      15.72      82.22  1
        2000060618  5766771      15.68      81.65  1
        2000060621  5685083      15.64      81.09  1
        2000060700  5709620      15.55      80.47  1
        2000060703  5654468      15.59      80.16  1
        2000060706  5607662      15.57      79.76  1
        2000060709  5667952      15.54      79.25  1
        2000060712  5670357      15.49      78.70  1
        2000060715  5507476      15.38      78.14  1
        2000060718  5380256      15.33      77.69  1
        2000060721  5306471      15.31      77.32  1
        2000060800  5212803      15.32      76.90  1
        2000060803  5098661      15.37      76.60  1
        2000060806  4987386      15.43      76.38  1
        2000060809  5057342      15.48      76.21  1
        2000060812  4977408      15.63      76.01  1
        2000060815  4629366      15.29      75.25  1
        2000060818  4213533      14.84      74.32  1
        2000060821  3266084      12.73      71.63  1
        2000060900  3158618      12.57      71.53  1
        2000060903  3013158      12.37      71.49  1
        2000060906  2863457      12.18      71.52  1
        2000060909  2670589      12.00      71.53  1
        2000060912  2526472      11.80      71.55  1
        2000060915  2340873      11.60      71.58  1
        2000060918  2207409      11.42      71.66  1
        2000060921  2064663      11.35      71.64  1
        2000061000  1956054      11.25      71.61  1
        2000061003  1782482      11.12      71.61  1
        2000061006  1677128      10.92      71.59  1
        2000061009  1510896      10.77      71.53  1
